"","Longitude","Latitude","Time","Humidity","Temperature","Windspeed","Soundvalue","Lux","Distance"
"1",7.575272,51.974979," 7:20:23",89,7,0.59,102,9,6
"2",7.575272,51.974979," 7:20:28",88,6,0.4,133,10,5
"3",7.575272,51.974979," 7:20:28",89,6,0.4,133,10,6
"4",7.575272,51.974979," 7:20:33",88,7,0.3,144,9,4
"5",7.575272,51.974979," 7:20:33",89,6,0.3,144,9,6
"6",7.575272,51.974979," 7:20:38",89,7,0.2,118,9,3
"7",7.575272,51.974979," 7:20:38",88,6,0.2,118,9,6
"8",7.575272,51.974979," 7:20:43",89,6,0.4,198,9,2
"9",7.575272,51.974979," 7:20:43",88,7,0.4,198,9,6
"10",7.575272,51.974979," 7:20:48",89,6,0.69,185,10,1
"11",7.575272,51.974979," 7:20:48",89,7,0.69,185,10,6
"12",7.575272,51.974979," 7:20:53",88,6,0.4,197,10,9
"13",7.575272,51.974979," 7:20:53",89,6,0.4,197,10,6
"14",7.575272,51.974979," 7:20:58",88,7,0.3,112,9,8
"15",7.575272,51.974979," 7:20:58",89,6,0.3,112,9,6
"16",7.575272,51.974979," 7:21:3",89,7,0.2,128,10,11
"17",7.575272,51.974979," 7:21:3",88,6,0.2,128,10,6
"18",7.575272,51.974979," 7:21:8",89,6,0.11,115,10,6
"19",7.575272,51.974979," 7:21:8",88,7,0.11,115,10,8
"20",7.575272,51.974979," 7:21:13",89,6,0.4,202,10,6
"21",7.575272,51.974979," 7:21:13",88,6,0.4,202,10,11
"22",7.575272,51.974979," 7:21:18",89,7,0.3,199,10,6
"23",7.575272,51.974979," 7:21:18",88,6,0.3,199,10,20
"24",7.575373,51.975173," 11:24:6",45,2,-0.09,100,3331,7
"25",7.575373,51.975173," 11:24:11",45,2,-0.09,105,3334,0
"26",7.575373,51.975173," 11:24:11",46,2,-0.09,105,3334,1
"27",7.575373,51.975173," 11:24:16",45,2,-0.09,103,3331,0
"28",7.575373,51.975173," 11:24:16",46,2,-0.09,103,3331,0
"29",7.575373,51.975173," 11:24:21",45,2,0.01,95,3334,0
"30",7.575373,51.975173," 11:24:21",45,2,0.01,95,3334,10
"31",7.575373,51.975173," 11:24:26",46,2,0.11,101,3333,0
"32",7.575373,51.975173," 11:24:26",45,2,0.11,101,3333,0
"33",7.575373,51.975173," 11:24:31",46,2,0.2,97,3334,6
"34",7.575373,51.975173," 11:24:31",45,2,0.2,97,3334,20
"35",7.575373,51.975173," 11:24:36",45,2,-0.29,106,3337,0
"36",7.575373,51.975173," 11:24:36",46,2,-0.29,106,3337,0
"37",7.575373,51.975173," 11:24:41",45,2,-0.09,97,3338,8
"38",7.575373,51.975173," 11:24:41",46,2,-0.09,97,3338,0
"39",7.575373,51.975173," 11:24:46",45,2,0.01,99,3335,0
"40",7.575373,51.975173," 11:24:46",45,2,0.01,99,3335,0
"41",7.575373,51.975173," 11:24:51",46,2,0.01,108,3335,0
"42",7.575373,51.975173," 11:24:51",45,2,0.01,108,3335,0
"43",7.575373,51.975173," 11:24:55",46,2,0.4,167,3330,0
"44",7.575373,51.975173," 11:24:55",46,2,0.4,167,3330,0
"45",7.575373,51.975173," 11:25:0",45,2,0.2,98,3328,14
"46",7.575373,51.975173," 11:25:0",45,2,0.2,98,3328,15
"47",7.575373,51.975173," 11:25:5",46,2,0.11,100,3329,15
"48",7.575373,51.975173," 11:25:5",45,2,0.11,100,3329,14
"49",7.575373,51.975173," 11:25:9",46,2,0.01,163,3331,1
"50",7.575373,51.975124," 11:25:9",45,2,0.01,163,3331,14
"51",7.575453,51.975124," 11:25:13",45,2,0.2,143,3334,1
"52",7.575453,51.975124," 11:25:13",46,2,0.2,143,3334,15
"53",7.575455,51.975124," 11:25:18",45,2,0.2,97,3335,15
"54",7.575455,51.975124," 11:25:18",46,2,0.2,97,3335,14
"55",7.575455,51.975124," 11:25:23",45,2,0.11,102,3335,15
"56",7.575455,51.975124," 11:25:23",45,2,0.11,102,3335,1
"57",7.575455,51.975124," 11:25:28",46,2,0.01,102,3336,14
"58",7.575455,51.975124," 11:25:28",45,2,0.01,102,3336,15
"59",7.575455,51.975124," 11:25:33",46,2,-0.19,107,3331,1
"60",7.575455,51.975124," 11:25:33",45,2,-0.19,107,3331,2
"61",7.575455,51.975124," 11:25:37",45,2,0.01,165,3329,6
"62",7.575455,51.975124," 11:25:37",46,2,0.01,165,3329,1
"63",7.575455,51.975124," 11:25:42",45,2,0.11,100,3325,6
"64",7.575455,51.975124," 11:25:42",46,2,0.11,100,3325,9
"65",7.575455,51.975124," 11:25:47",45,2,0.01,96,3325,6
"66",7.575455,51.975124," 11:25:47",45,2,0.01,96,3325,8
"67",7.575455,51.975124," 11:25:51",46,2,0.11,163,3323,6
"68",7.575488,51.974868," 16:15:42",45,2,0.01,114,5,8
"69",7.575488,51.974868," 16:15:47",46,2,-0.09,104,4,5
"70",7.575488,51.974868," 16:15:47",45,2,-0.09,104,4,4
"71",7.575488,51.974868," 16:15:52",46,2,-0.19,110,4,10
"72",7.575488,51.974868," 16:15:52",45,2,-0.19,110,4,3
"73",7.575488,51.974868," 16:15:57",45,2,-0.09,115,4,2
"74",7.575488,51.974868," 16:15:57",46,2,-0.09,115,4,2
"75",7.575488,51.974868," 16:16:2",45,2,-0.09,105,4,1
"76",7.575488,51.974868," 16:16:2",46,2,-0.09,105,4,5
"77",7.575488,51.974868," 16:16:7",46,2,-0.09,102,4,6
"78",7.575488,51.974868," 16:16:7",45,2,-0.09,102,4,10
"79",7.575488,51.974868," 16:16:12",45,2,-0.09,105,4,11
"80",7.575488,51.974868," 16:16:12",46,2,-0.09,105,4,4
"81",7.575488,51.974868," 16:16:17",45,2,-0.09,109,4,2
"82",7.575488,51.974868," 16:16:17",46,2,-0.09,109,4,0
"83",7.575488,51.974868," 16:16:22",45,2,-0.09,116,5,0
"84",7.575488,51.974868," 16:16:22",45,2,-0.09,116,5,10
"85",7.575488,51.974868," 16:16:27",46,2,-0.29,109,5,9
"86",7.575488,51.974918," 16:16:27",45,2,-0.29,109,5,5
"87",7.575285,51.974918," 16:16:32",46,2,-0.09,97,4,4
"88",7.575285,51.974933," 16:16:32",45,2,-0.09,97,4,2
"89",7.575277,51.974933," 16:16:37",45,2,-0.19,125,4,4
"90",7.575277,51.974933," 16:16:37",46,2,-0.19,125,4,0
"91",7.6156568,51.9554848," 16:15:42",75,2,0.01,114,5,8
"92",7.6156568,51.9554848," 16:15:47",76,2,0.09,104,4,5
"93",7.6156568,51.9554848," 16:15:47",75,2,0.5,104,4,4
"94",7.6156568,51.9554848," 16:15:52",76,2,0.5,110,4,10
"95",7.6156568,51.9554848," 16:15:52",75,2,0.2,110,4,3
"96",7.6156568,51.9554848," 16:15:57",75,2,0.2,115,4,2
"97",7.6156568,51.9554848," 16:15:57",76,2,0.79,115,4,2
"98",7.6156568,51.9554848," 16:16:2",75,2,0.79,105,4,1
"99",7.6156568,51.9554848," 16:16:2",76,2,0.59,105,4,5
"100",7.6156568,51.9554848," 16:16:7",76,2,0.59,102,4,6
"101",7.6156568,51.9554848," 16:16:7",75,2,0.5,102,4,10
"102",7.6156568,51.9554848," 16:16:12",75,2,-0.09,105,4,11
"103",7.6156568,51.9554848," 16:16:12",75,2,-0.09,105,4,4
"104",7.6156568,51.9554848," 16:16:17",76,2,-0.09,109,4,2
"105",7.6156568,51.9554848," 16:16:17",75,2,-0.09,109,4,0
"106",7.6156568,51.9554848," 16:16:22",75,2,-0.09,116,5,0
"107",7.6156568,51.9554848," 16:16:22",76,2,-0.09,116,5,10
"108",7.6156568,51.9554848," 16:16:27",75,2,0.01,109,5,9
"109",7.6156568,51.9554848," 16:16:27",76,2,0.09,109,5,5
"110",7.6156568,51.9554848," 16:16:32",76,2,0.5,97,4,4
"111",7.6156568,51.9554848," 16:16:32",75,2,0.5,97,4,2
"112",7.6156568,51.9554848," 16:16:37",75,2,0.2,125,4,4
"113",7.6156568,51.9554848," 16:16:37",76,2,0.2,125,4,0
