Longitude,Time,Humidity,Temperature,Windspeed,Soundvalue,Lux,Distance,Latitude
7.6156568, 16:15:42,75,2,0.01,114,5,8,51.9554848
7.6156568, 16:15:47,76,2,0.09,104,4,5,51.9554848
7.6156568, 16:15:47,75,2,0.5,104,4,4,51.9554848
7.6156568, 16:15:52,76,2,0.5,110,4,10,51.9554848
7.6156568, 16:15:52,75,2,0.2,110,4,3,51.9554848
7.6156568, 16:15:57,75,2,0.2,115,4,2,51.9554848
7.6156568, 16:15:57,76,2,0.79,115,4,2,51.9554848
7.6156568, 16:16:2,75,2,0.79,105,4,1,51.9554848
7.6156568, 16:16:2,76,2,0.59,105,4,5,51.9554848
7.6156568, 16:16:7,76,2,0.59,102,4,6,51.9554848
7.6156568, 16:16:7,75,2,0.5,102,4,10,51.9554848
7.6156568, 16:16:12,75,2,-0.09,105,4,11,51.9554848
7.6156568, 16:16:12,75,2,-0.09,105,4,4,51.9554848
7.6156568, 16:16:17,76,2,-0.09,109,4,2,51.9554848
7.6156568, 16:16:17,75,2,-0.09,109,4,0,51.9554848
7.6156568, 16:16:22,75,2,-0.09,116,5,0,51.9554848
7.6156568, 16:16:22,76,2,-0.09,116,5,10,51.9554848
7.6156568, 16:16:27,75,2,0.01,109,5,9,51.9554848
7.6156568, 16:16:27,76,2,0.09,109,5,5,51.9554848
7.6156568, 16:16:32,76,2,0.5,97,4,4,51.9554848
7.6156568, 16:16:32,75,2,0.5,97,4,2,51.9554848
7.6156568, 16:16:37,75,2,0.2,125,4,4,51.9554848
7.6156568, 16:16:37,76,2,0.2,125,4,0,51.9554848
